Batteriespannung;Luftdruck;CO²-Wert;Helligkeit;Luftfeuchtigkeit;Temperatur(Durchschnitt);Gefühlte temperatur;Windgeschwindigkeit;Temperatur(DHT);Temperatur(DHT-KORRIGIERT);Temperatur(BMP)
8,00;1030,99;755,00;1022,00;56,70;20,67;26,03;0,00;25,90;18,46;22,88
8,00;1031,06;765,00;1022,00;56,70;20,67;26,03;0,00;25,90;18,46;22,88
8,00;1030,99;770,00;1022,00;56,70;20,67;26,03;0,00;25,90;18,46;22,87
8,00;1030,99;771,00;1022,00;56,70;20,66;26,03;0,00;25,90;18,46;22,87
8,00;1031,06;749,00;1022,00;56,70;20,71;26,81;0,00;26,00;18,56;22,87
8,00;1031,08;767,00;1022,00;56,70;20,72;26,81;0,00;26,00;18,56;22,88
8,00;1031,11;768,00;1022,00;56,70;20,72;26,81;0,00;26,00;18,56;22,87
8,00;1031,09;769,00;1022,00;56,70;20,71;26,81;0,00;26,00;18,56;22,86
8,00;1031,04;753,00;1022,00;56,60;20,71;26,80;0,00;26,00;18,56;22,86
8,00;1031,05;767,00;1022,00;56,60;20,71;26,80;0,00;26,00;18,56;22,86
8,00;1031,04;769,00;1022,00;56,60;20,71;26,80;0,00;26,00;18,56;22,85
8,00;1031,04;764,00;1022,00;56,60;20,70;26,80;0,00;26,00;18,56;22,85
8,00;1031,04;755,00;1022,00;56,50;20,70;26,80;0,00;26,00;18,56;22,85
8,00;1031,02;764,00;1022,00;56,50;20,70;26,80;0,00;26,00;18,56;22,84
8,00;1031,04;770,00;1022,00;56,50;20,70;26,80;0,00;26,00;18,56;22,84
8,00;1030,98;768,00;1022,00;56,50;20,70;26,80;0,00;26,00;18,56;22,84
8,00;1031,06;756,00;1022,00;56,50;20,75;26,89;0,00;26,10;18,66;22,85
8,00;1031,02;765,00;1022,00;56,50;20,75;26,89;0,00;26,10;18,66;22,84
8,00;1031,07;765,00;1022,00;56,50;20,75;26,89;0,00;26,10;18,66;22,84
8,00;1031,06;752,00;1022,00;56,40;20,75;26,89;0,00;26,10;18,66;22,83
8,00;1031,10;768,00;1022,00;56,40;20,75;26,89;0,00;26,10;18,66;22,84
8,00;1031,09;767,00;1022,00;56,40;20,75;26,89;0,00;26,10;18,66;22,84
8,00;1031,06;771,00;1022,00;56,40;20,75;26,89;0,00;26,10;18,66;22,83
8,00;1031,04;754,00;1022,00;56,30;20,75;26,89;0,00;26,10;18,66;22,83
8,00;1031,04;766,00;1022,00;56,30;20,75;26,89;0,00;26,10;18,66;22,83
8,00;1031,06;767,00;1022,00;56,30;20,74;26,89;0,00;26,10;18,66;22,82
8,00;1031,00;764,00;1022,00;56,30;20,74;26,89;0,00;26,10;18,66;22,82
8,00;1031,07;752,00;1022,00;56,20;20,74;26,88;0,00;26,10;18,66;22,82
8,00;1031,04;767,00;1022,00;56,20;20,74;26,88;0,00;26,10;18,66;22,81
8,00;1031,06;768,00;1023,00;56,20;20,74;26,88;0,00;26,10;18,66;22,81
8,00;1031,08;768,00;1022,00;56,20;20,74;26,88;0,00;26,10;18,66;22,82
8,00;1031,07;753,00;1022,00;56,10;20,79;26,97;0,00;26,20;18,76;22,81
8,00;1031,02;765,00;1022,00;56,10;20,78;26,97;0,00;26,20;18,76;22,80
8,00;1030,98;763,00;1022,00;56,10;20,78;26,97;0,00;26,20;18,76;22,81
8,00;1031,03;770,00;1022,00;56,10;20,79;26,97;0,00;26,20;18,76;22,81
8,00;1031,01;752,00;1022,00;56,00;20,78;26,97;0,00;26,20;18,76;22,79
8,00;1030,97;768,00;1022,00;56,00;20,78;26,97;0,00;26,20;18,76;22,80
8,00;1031,12;767,00;1022,00;56,00;20,78;26,97;0,00;26,20;18,76;22,79
8,00;1031,03;771,00;1022,00;56,00;20,77;26,97;0,00;26,20;18,76;22,79
8,00;1030,99;752,00;1022,00;55,90;20,77;26,97;0,00;26,20;18,76;22,79
8,00;1031,04;763,00;1022,00;55,90;20,78;26,97;0,00;26,20;18,76;22,79
8,00;1031,10;770,00;1022,00;55,90;20,78;26,97;0,00;26,20;18,76;22,80
8,00;1031,04;767,00;1022,00;55,90;20,77;26,97;0,00;26,20;18,76;22,79
8,00;1031,07;750,00;1022,00;55,80;20,82;27,06;0,00;26,30;18,86;22,78
8,00;1031,02;764,00;1022,00;55,80;20,82;27,06;0,00;26,30;18,86;22,79
8,00;1031,05;767,00;1023,00;55,80;20,82;27,06;0,00;26,30;18,86;22,78
8,00;1031,10;771,00;1023,00;55,80;20,82;27,06;0,00;26,30;18,86;22,78
8,00;1031,04;754,00;1022,00;55,80;20,82;27,06;0,00;26,30;18,86;22,77
8,00;1030,95;763,00;1022,00;55,80;20,81;27,06;0,00;26,30;18,86;22,76
8,00;1031,04;767,00;1022,00;55,80;20,82;27,06;0,00;26,30;18,86;22,77
8,00;1031,05;770,00;1022,00;55,80;20,82;27,06;0,00;26,30;18,86;22,78
8,00;1031,05;752,00;1022,00;55,80;20,82;27,06;0,00;26,30;18,86;22,77
8,00;1031,05;768,00;1023,00;55,80;20,82;27,06;0,00;26,30;18,86;22,77
8,00;1031,24;768,00;1022,00;55,80;20,82;27,06;0,00;26,30;18,86;22,78
8,00;1031,09;768,00;1022,00;55,80;20,82;27,06;0,00;26,30;18,86;22,77
