Value;Average;W_val;W_avg
8409790;3567443;1;0
8409792;3572896;1;0
8409783;3578337;1;0
8409790;3583766;1;0
8409779;3589182;1;0
8409794;3594586;1;0
8409805;3599979;1;0
8409801;3605359;2;0
8409805;3610727;1;0
8409798;3616083;1;0
8409798;3621427;1;0
8409799;3626759;1;0
8409789;3632080;1;0
8409793;3637388;1;0
8409785;3642685;1;0
8409791;3647970;1;0
8409806;3653244;1;0
8409798;3658505;1;0
8409803;3663755;1;0
8409781;3668994;1;0
8409801;3674221;1;0
8409814;3679436;1;0
8409810;3684640;1;0
8409796;3689832;1;0
8409786;3695013;1;0
8409807;3700183;1;0
8409783;3705342;1;0
8409803;3710489;1;0
8409799;3715625;1;0
8409790;3720749;1;0
8409796;3725863;1;0
8409790;3730965;1;0
8409790;3736056;1;0
8409790;3741136;1;0
8409803;3746205;1;0
8409790;3751264;2;0
8409806;3756311;2;0
8409811;3761347;1;0
8409797;3766372;1;0
8409802;3771387;1;0
8409799;3776391;2;0
8409799;3781383;1;0
8409809;3786366;1;0
8409799;3791337;2;0
8409794;3796298;1;0
8409803;3801248;2;0
8409803;3806187;1;0
8409820;3811116;1;0
8409807;3816035;1;0
8409799;3820943;2;0
8409799;3825840;2;0
8409803;3830727;2;0
8409812;3835603;1;0
8409793;3840470;2;0
8409813;3845325;1;0
8409812;3850171;2;0
8409814;3855006;2;0
8409808;3859831;2;0
8409824;3864646;2;0
8409819;3869451;2;0
8409831;3874245;2;0
8409825;3879030;2;0
8409828;3883804;2;0
8409830;3888568;2;0
8409814;3893322;2;0
8409817;3898066;2;0
8409809;3902801;2;0
8409806;3907525;2;0
8409807;3912240;2;0
8409812;3916944;2;0
8409803;3921639;2;0
8409816;3926324;2;0
8409809;3930999;1;0
8409802;3935664;2;0
8409819;3940320;2;0
8409808;3944966;2;0
8409824;3949603;2;0
8409843;3954229;2;0
8409847;3958847;2;0
8409851;3963454;2;0
8409847;3968052;2;0
8409854;3972641;2;0
8409857;3977220;2;0
8409860;3981790;2;0
8409870;3986350;2;0
8409865;3990901;2;0
8409878;3995443;2;0
8409877;3999975;2;0
8409882;4004498;2;0
8409880;4009012;2;0
8409865;4013516;2;0
8409879;4018011;2;0
8409881;4022497;2;0
8409888;4026974;2;0
8409904;4031442;2;0
8409909;4035901;2;0
8409876;4040351;2;0
8409881;4044791;2;0
8409880;4049223;2;0
8409886;4053645;2;0
8409884;4058059;2;0
8409887;4062464;2;0
8409897;4066859;2;0
8409887;4071246;2;0
8409887;4075624;2;0
8409893;4079994;2;0
8409904;4084354;2;0
8409887;4088706;2;0
8409888;4093049;2;0
8409895;4097383;2;0
8409905;4101708;2;0
8409889;4106025;2;0
8409904;4110333;2;0
8409895;4114633;2;0
8409901;4118924;2;0
8409893;4123206;2;0
8409903;4127480;2;0
8409893;4131745;2;0
8409897;4136002;2;0
8409898;4140251;2;0
8409901;4144491;2;0
8409904;4148722;2;0
8409913;4152945;2;0
8409908;4157160;2;0
8409918;4161367;2;0
8409912;4165565;2;0
8409925;4169755;2;0
8409915;4173936;2;0
8409907;4178110;2;0
8409938;4182275;2;0
8409914;4186432;2;0
8409898;4190581;2;0
8409904;4194721;2;0
8409902;4198854;2;0
8409906;4202978;2;0
8409906;4583;2;0
8409910;12799;2;0
8409896;20999;2;0
8409903;29184;2;0
8409891;37352;2;0
8409893;45504;2;0
8409892;53641;2;0
8409887;61762;2;0
8409882;69867;2;0
8409887;77956;2;0
8409870;86029;2;0
8409883;94087;2;0
8409864;102130;2;0
8409888;110156;2;0
8409870;118168;2;0
8409882;126164;2;0
8409877;134144;2;0
8409881;142109;2;0
8409874;150059;2;0
8409885;157993;2;0
8409866;165913;2;0
8409879;173817;2;0
8409873;181706;2;0
8409873;189580;2;0
8409878;197438;2;0
8409869;205282;2;0
8409875;213111;2;0
8409875;220925;2;0
8409860;228724;2;0
8409881;236508;2;0
8409862;244277;2;0
8409873;252032;2;0
8409880;259772;2;0
8409869;267497;2;0
8409888;275208;2;0
8409874;282904;2;0
8409879;290585;2;0
8409866;298252;2;0
8409856;305905;2;0
8409869;313543;2;0
8409868;321166;2;0
8409879;328776;2;0
8409873;336371;2;0
8409870;343951;2;0
8409872;351518;2;0
8409873;359070;2;0
8409880;366608;2;0
8409860;374132;2;0
8409864;381643;2;0
8409864;389139;2;0
8409874;396621;2;0
8409877;404089;2;0
8409855;411543;2;0
8409860;418983;1;0
8409407;426409;0;0
8409371;433821;0;0
8409378;441220;0;0
8409368;448605;0;0
8409377;455976;0;0
8409385;463333;0;0
8409377;470677;0;0
8409389;478007;0;0
8409398;485324;1;0
8409393;492627;0;0
8409381;499917;1;0
8409389;507194;1;0
8409392;514457;0;0
8409388;521706;1;0
8409384;528943;1;0
8409402;536166;1;0
8409402;543376;1;0
8409397;550573;0;0
8409390;557756;1;0
8409394;564927;0;0
8409392;572084;0;0
8409386;579228;0;0
8409404;586360;1;0
8409390;593478;0;0
8409385;600583;0;0
8409388;607676;0;0
8409386;614755;0;0
8409390;621822;0;0
8409369;628876;0;0
8409381;635917;0;0
8409368;642946;0;0
8409390;649961;0;0
8409388;656964;0;0
8409380;663955;0;0
8409396;670933;0;0
8409389;677898;0;0
8409370;684851;0;0
8409380;691791;0;0
8409371;698719;0;0
8409380;705634;0;0
8409380;712537;0;0
8409383;719428;0;0
8409397;726306;0;0
8409388;733172;0;0
8409383;740026;0;0
8409369;746868;0;0
8409369;753697;0;0
8409369;760514;0;0
8409376;767319;0;0
8409373;774112;0;0
8409379;780893;0;0
8409391;787662;0;0
8409385;794419;0;0
8409374;801163;0;0
8409380;807896;0;0
8409381;814617;0;0
8409369;821327;0;0
8409370;828024;0;0
8409385;834709;0;0
8409376;841383;0;0
8409368;848045;0;0
8409363;854695;0;0
8409362;861334;0;0
8409373;867961;0;0
8409369;874576;0;0
8409363;881180;0;0
8409379;887772;0;0
8409365;894352;0;0
8409372;900921;0;0
8409372;907479;0;0
8409364;914025;0;0
8409373;920560;0;0
8409369;927083;0;0
8409381;933595;0;0
8409377;940096;0;0
8409380;946585;0;0
8409373;953063;0;0
8409377;959530;0;0
8409374;965986;0;0
8409383;972431;0;0
8409384;978864;0;0
8409373;985286;0;0
8409364;991697;0;0
8409369;998097;0;0
8409372;1004486;0;0
8409372;1010864;0;0
8409365;1017231;0;0
8409374;1023587;0;0
