BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
27,32;58,59;95,77;26,36;95,53;27,00;28,95;71,10;27,25;26,98;95,65;64,85;82,00;60,00;5,00;8,00
27,32;58,61;95,77;26,36;95,53;27,00;28,95;71,10;27,25;26,98;95,65;64,86;82,00;60,00;5,00;8,00
27,32;58,60;95,77;26,35;95,53;27,00;28,95;71,10;27,25;26,98;95,65;64,85;82,00;60,00;5,00;8,00
27,33;58,63;95,77;26,36;95,53;27,00;28,95;71,10;27,25;26,99;95,65;64,86;81,00;60,00;5,00;8,00
27,33;58,68;95,77;26,37;95,53;27,00;28,95;71,10;27,25;26,99;95,65;64,89;81,00;60,00;5,00;8,00
27,33;58,71;95,77;26,37;95,52;27,00;28,95;71,10;27,25;26,99;95,64;64,90;81,00;59,00;5,00;8,00
27,34;58,72;95,77;26,37;95,53;27,00;28,96;71,20;27,25;26,99;95,65;64,96;82,00;60,00;4,00;8,00
27,34;58,75;95,77;26,37;95,53;27,00;28,96;71,20;27,25;26,99;95,65;64,98;81,00;60,00;4,00;8,00
27,34;58,76;95,77;26,37;95,53;27,00;28,96;71,30;27,25;26,99;95,65;65,03;82,00;60,00;4,00;8,00
27,35;58,74;95,77;26,39;95,53;27,00;28,96;71,30;27,25;27,00;95,65;65,02;82,00;60,00;4,00;8,00
27,35;58,73;95,77;26,39;95,53;27,10;29,14;71,30;27,25;27,02;95,65;65,02;82,00;60,00;4,00;8,00
27,35;58,70;95,77;26,39;95,53;27,10;29,14;71,30;27,25;27,02;95,65;65,00;82,00;60,00;4,00;8,00
27,35;58,68;95,77;26,39;95,53;27,10;29,14;71,30;27,25;27,02;95,65;64,99;81,00;60,00;4,00;8,00
27,36;58,64;95,77;26,39;95,53;27,10;29,14;71,30;27,25;27,03;95,65;64,97;82,00;60,00;4,00;8,00
27,36;58,62;95,77;26,39;95,53;27,10;29,15;71,40;27,25;27,03;95,65;65,01;82,00;59,00;4,00;7,00
27,36;58,60;95,77;26,39;95,53;27,10;29,15;71,40;27,25;27,03;95,65;65,00;82,00;60,00;4,00;7,00
27,37;58,60;95,77;26,40;95,53;27,10;29,15;71,40;27,25;27,03;95,65;65,00;83,00;59,00;4,00;7,00
27,37;58,60;95,77;26,40;95,53;27,10;29,15;71,40;27,25;27,03;95,65;65,00;82,00;60,00;4,00;7,00
27,37;58,64;95,77;26,40;95,53;27,10;29,14;71,30;27,25;27,03;95,65;64,97;82,00;60,00;4,00;7,00
27,38;58,65;95,77;26,40;95,52;27,10;29,14;71,30;27,25;27,03;95,65;64,98;82,00;59,00;4,00;7,00
27,38;58,66;95,77;26,41;95,53;27,10;29,14;71,30;27,25;27,03;95,65;64,98;81,00;59,00;4,00;7,00
27,38;58,59;95,77;26,39;95,52;27,10;29,14;71,30;27,25;27,03;95,65;64,94;82,00;60,00;4,00;7,00
27,38;58,56;95,77;26,40;95,52;27,10;29,14;71,30;27,25;27,03;95,65;64,93;82,00;60,00;4,00;7,00
27,38;58,57;95,76;26,42;95,53;27,10;29,14;71,30;27,25;27,04;95,65;64,93;83,00;59,00;4,00;7,00
27,39;58,66;95,77;26,42;95,53;27,10;29,14;71,30;27,25;27,04;95,65;64,98;79,00;60,00;4,00;7,00
27,40;59,32;95,76;26,43;95,52;27,10;29,14;71,30;27,25;27,04;95,64;65,31;84,00;59,00;4,00;7,00
27,41;59,64;95,76;26,45;95,53;27,10;29,15;71,40;27,25;27,05;95,65;65,52;83,00;60,00;4,00;7,00
27,41;60,25;95,76;26,44;95,52;27,10;29,15;71,40;27,25;27,05;95,64;65,83;83,00;59,00;4,00;7,00
27,42;60,44;95,77;26,46;95,53;27,10;29,20;72,00;27,25;27,06;95,65;66,22;83,00;60,00;4,00;7,00
27,42;60,41;95,76;26,45;95,52;27,10;29,20;72,00;27,25;27,06;95,64;66,20;83,00;59,00;4,00;8,00
27,43;60,43;95,76;26,46;95,52;27,10;29,28;72,90;27,25;27,06;95,64;66,67;83,00;60,00;4,00;7,00
27,44;61,49;95,76;26,47;95,52;27,10;29,28;72,90;27,25;27,06;95,64;67,19;83,00;58,00;4,00;7,00
27,45;61,92;95,76;26,48;95,51;27,10;29,33;73,40;27,25;27,07;95,64;67,66;67,00;66,00;4,00;7,00
27,86;66,63;95,76;26,88;95,52;27,10;29,33;73,40;27,25;27,27;95,64;70,02;78,00;60,00;6,00;9,00
