BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
28,53;48,79;96,51;27,34;60,42;28,20;30,05;62,50;27,75;27,95;78,46;55,64;64,00;59,00;7,00;6,00;72,80
28,55;48,77;96,51;27,33;60,41;28,20;30,05;62,50;27,75;27,96;78,46;55,63;61,00;59,00;7,00;6,00;100,00
28,56;48,74;96,51;27,33;60,41;28,20;30,10;62,90;27,75;27,96;78,46;55,82;62,00;59,00;7,00;6,00;127,10
28,56;48,72;96,51;27,34;60,42;28,20;30,10;62,90;27,75;27,96;78,47;55,81;70,00;59,00;7,00;6,00;72,90
28,56;48,67;96,51;27,34;60,42;28,20;30,12;63,00;27,75;27,96;78,46;55,83;75,00;59,00;7,00;6,00;127,20
28,56;48,59;96,51;27,34;60,42;28,20;30,12;63,00;27,75;27,96;78,46;55,79;75,00;59,00;7,00;6,00;72,80
28,56;48,50;96,51;27,33;60,41;28,20;30,09;62,80;27,75;27,96;78,46;55,65;75,00;59,00;7,00;6,00;127,20
28,56;48,49;96,51;27,34;60,42;28,20;30,09;62,80;27,75;27,96;78,47;55,64;75,00;59,00;6,00;6,00;72,80
28,56;48,38;96,51;27,34;60,42;28,20;30,09;62,80;27,75;27,96;78,46;55,59;74,00;59,00;6,00;6,00;100,10
28,56;48,32;96,51;27,33;60,41;28,20;30,08;62,70;27,75;27,96;78,46;55,51;64,00;59,00;6,00;6,00;127,00
28,56;48,27;96,51;27,34;60,42;28,20;30,08;62,70;27,75;27,96;78,47;55,49;56,00;59,00;6,00;6,00;72,90
28,57;48,41;96,51;27,33;60,41;28,20;30,05;62,50;27,75;27,96;78,46;55,45;79,00;59,00;6,00;6,00;127,10
28,57;48,44;96,51;27,35;60,43;28,20;30,05;62,50;27,75;27,97;78,47;55,47;60,00;59,00;6,00;6,00;72,90
28,57;48,53;96,51;27,34;60,42;28,20;30,08;62,70;27,75;27,97;78,47;55,62;59,00;59,00;6,00;6,00;127,20
28,56;48,58;96,51;27,35;60,43;28,20;30,08;62,70;27,75;27,96;78,47;55,64;58,00;59,00;6,00;5,00;72,80
28,55;49,84;96,51;27,35;60,43;28,20;30,12;63,00;27,75;27,96;78,47;56,42;61,00;59,00;6,00;5,00;127,20
28,56;50,51;96,51;27,34;60,42;28,20;30,12;63,00;27,75;27,96;78,47;56,76;63,00;59,00;6,00;5,00;72,80
28,56;50,46;96,51;27,34;60,42;28,20;30,12;63,00;27,75;27,96;78,47;56,73;61,00;59,00;6,00;5,00;100,00
28,54;50,97;96,51;27,34;60,42;28,20;30,15;63,30;27,75;27,96;78,46;57,14;61,00;58,00;6,00;5,00;127,10
28,54;50,98;96,51;27,34;60,42;28,20;30,15;63,30;27,75;27,96;78,46;57,14;62,00;59,00;5,00;5,00;72,90
28,52;50,71;96,51;27,33;60,41;28,20;30,27;64,20;27,75;27,95;78,46;57,46;61,00;59,00;5,00;5,00;127,20
28,52;50,83;96,51;27,31;60,40;28,20;30,27;64,20;27,75;27,95;78,46;57,51;61,00;59,00;5,00;5,00;72,80
28,54;51,15;96,52;27,31;60,40;28,20;30,32;64,60;27,75;27,95;78,46;57,88;61,00;59,00;5,00;5,00;127,20
28,54;51,09;96,51;27,31;60,40;28,20;30,32;64,60;27,75;27,95;78,46;57,85;61,00;59,00;5,00;5,00;72,80
28,52;51,76;96,51;27,31;60,40;28,20;30,32;64,60;27,75;27,94;78,46;58,18;62,00;59,00;6,00;5,00;100,10
28,51;51,89;96,51;27,30;60,39;28,20;30,35;64,80;27,75;27,94;78,45;58,35;61,00;58,00;6,00;5,00;127,00
28,51;51,82;96,51;27,29;60,39;28,20;30,35;64,80;27,75;27,94;78,45;58,31;63,00;59,00;6,00;5,00;72,90
28,52;51,68;96,51;27,30;60,39;28,20;30,43;65,40;27,75;27,94;78,45;58,54;65,00;59,00;6,00;5,00;127,10
28,52;51,63;96,51;27,30;60,39;28,20;30,43;65,40;27,75;27,94;78,45;58,52;70,00;59,00;6,00;5,00;72,90
28,53;51,46;96,51;27,31;60,40;28,20;30,44;65,50;27,75;27,95;78,45;58,48;68,00;59,00;6,00;5,00;127,20
28,52;51,03;96,51;27,30;60,39;28,20;30,44;65,50;27,75;27,94;78,45;58,26;67,00;59,00;6,00;5,00;72,80
28,52;50,59;96,51;27,31;60,40;28,20;30,44;65,50;27,75;27,95;78,46;58,04;64,00;59,00;6,00;5,00;127,20
28,52;50,21;96,51;27,30;60,39;28,20;30,44;65,50;27,75;27,94;78,45;57,86;60,00;59,00;6,00;5,00;72,80
28,52;49,93;96,51;27,31;60,40;28,20;30,44;65,50;27,75;27,94;78,46;57,72;66,00;59,00;6,00;5,00;100,00
28,52;49,75;96,51;27,32;60,41;28,20;30,41;65,30;27,75;27,95;78,46;57,53;66,00;59,00;6,00;5,00;127,10
28,52;49,55;96,51;27,31;60,40;28,20;30,41;65,30;27,75;27,95;78,46;57,43;65,00;59,00;6,00;5,00;72,90
28,52;49,46;96,51;27,32;60,41;28,20;30,33;64,70;27,75;27,95;78,46;57,08;66,00;59,00;6,00;5,00;127,20
28,52;49,37;96,51;27,32;60,41;28,20;30,33;64,70;27,75;27,95;78,46;57,04;66,00;59,00;6,00;5,00;72,80
28,52;49,34;96,52;27,32;60,41;28,20;30,28;64,30;27,75;27,95;78,46;56,82;66,00;59,00;6,00;5,00;127,20
28,52;49,33;96,51;27,32;60,41;28,20;30,28;64,30;27,75;27,95;78,46;56,81;66,00;59,00;6,00;5,00;72,80
28,53;49,33;96,51;27,31;60,40;28,20;30,28;64,30;27,75;27,95;78,46;56,81;66,00;59,00;6,00;5,00;100,10
28,53;49,32;96,51;27,33;60,41;28,20;30,24;64,00;27,75;27,95;78,46;56,66;66,00;59,00;6,00;5,00;127,00
28,53;49,26;96,52;27,32;60,41;28,20;30,24;64,00;27,75;27,95;78,46;56,63;66,00;59,00;6,00;5,00;72,90
28,52;49,21;96,51;27,33;60,41;28,20;30,21;63,70;27,75;27,95;78,46;56,46;67,00;59,00;6,00;5,00;127,10
28,53;49,16;96,51;27,33;60,41;28,20;30,21;63,70;27,75;27,95;78,46;56,43;64,00;59,00;6,00;5,00;72,90
28,53;49,09;96,52;27,31;60,40;28,20;30,18;63,50;27,75;27,95;78,46;56,30;66,00;59,00;6,00;5,00;127,20
28,52;49,07;96,51;27,32;60,41;28,20;30,18;63,50;27,75;27,95;78,46;56,28;66,00;59,00;6,00;5,00;72,80
28,53;49,05;96,51;27,32;60,41;28,20;30,15;63,30;27,75;27,95;78,46;56,17;67,00;59,00;6,00;5,00;127,20
28,53;49,02;96,52;27,33;60,41;28,20;30,15;63,30;27,75;27,95;78,47;56,16;67,00;58,00;6,00;5,00;72,80
28,53;48,98;96,51;27,31;60,40;28,20;30,15;63,30;27,75;27,95;78,46;56,14;67,00;59,00;6,00;5,00;100,00
28,53;48,93;96,51;27,32;60,41;28,20;30,13;63,10;27,75;27,95;78,46;56,02;66,00;59,00;6,00;5,00;127,10
28,53;48,91;96,51;27,34;60,42;28,20;30,13;63,10;27,75;27,95;78,46;56,01;64,00;58,00;6,00;5,00;72,90
28,53;48,90;96,51;27,35;60,43;28,20;30,12;63,00;27,75;27,96;78,47;55,95;62,00;59,00;6,00;5,00;127,20
28,53;48,90;96,51;27,33;60,41;28,20;30,12;63,00;27,75;27,95;78,46;55,95;63,00;59,00;6,00;5,00;72,80
28,53;48,92;96,51;27,34;60,42;28,20;30,10;62,90;27,75;27,95;78,47;55,91;65,00;58,00;6,00;5,00;127,20
28,54;48,95;96,52;27,32;60,41;28,20;30,10;62,90;27,75;27,95;78,46;55,92;65,00;59,00;6,00;5,00;72,80
